state,median_income
Alabama,60660
Alaska,98190
Arizona,82660
Arkansas,63250
California,89870
Colorado,96640
Connecticut,92240
Delaware,86340
District of Columbia,111000
Florida,72200
Georgia,72420
Hawaii,97360
Idaho,73910
Illinois,87820
Indiana,76910
Iowa,80860
Kansas,84830
Kentucky,61980
Louisiana,57650
Maine,75740
Maryland,102000
Massachusetts,106500
Michigan,76960
Minnesota,90340
Mississippi,55060
Missouri,78290
Montana,79220
Nebraska,89190
Nevada,81310
New Hampshire,98780
New Jersey,91590
New Mexico,60980
New York,81600
North Carolina,68610
North Dakota,76960
Ohio,73770
Oklahoma,67330
Oregon,88740
Pennsylvania,79820
Rhode Island,81860
South Carolina,69100
South Dakota,81740
Tennessee,72700
Texas,79060
Utah,101200
Vermont,85190
Virginia,96490
Washington,93440
West Virginia,60410
Wisconsin,79690
Wyoming,77200
